constructor_name,year,total_wins,total_podiums,total_points,total_races,avg_position,total_dnf,win_rate
BRM,1969,0,1,7.0,25,11.68,25,0.0
BRM,1970,1,2,25.0,37,13.513513513513514,34,2.7
BRM,1971,2,4,42.0,38,11.421052631578947,30,5.26
BRM,1972,1,1,14.0,47,16.48936170212766,41,2.13
BRM,1973,0,0,13.0,44,13.454545454545455,38,0.0
BRM,1974,0,1,10.0,40,16.975,36,0.0
BRM,1975,0,0,0.0,11,18.636363636363637,11,0.0
BRM,1976,0,0,0.0,1,22.0,1,0.0
BRM,1977,0,0,0.0,10,28.3,10,0.0
BRM-Ford,1969,0,0,0.0,1,8.0,1,0.0
BRP,1963,0,0,6.0,5,10.8,5,0.0
BRP,1964,0,0,5.0,14,12.5,14,0.0
Behra-Porsche,1960,0,0,0.0,2,11.0,2,0.0
Bellasi,1970,0,0,0.0,5,23.4,5,0.0
Bellasi,1971,0,0,0.0,1,21.0,1,0.0
Benetton,1986,1,2,19.0,32,13.53125,31,3.12
Benetton,1987,0,2,28.0,32,11.90625,30,0.0
Benetton,1988,0,7,39.0,32,10.3125,23,0.0
Benetton,1989,1,4,39.0,32,12.5,24,3.12
Benetton,1990,2,8,71.0,32,8.3125,14,6.25
Benetton,1991,1,3,38.5,32,10.59375,21,3.12
Benetton,1992,1,13,91.0,32,8.0,12,3.12
Benetton,1993,1,11,72.0,32,9.9375,20,3.12
Benetton,1994,8,12,103.0,32,10.5,19,25.0
Benetton,1995,11,15,147.0,34,6.676470588235294,16,32.35
Benetton,1996,0,10,68.0,32,7.9375,14,0.0
Benetton,1997,1,8,67.0,34,7.5,11,2.94
Benetton,1998,0,2,33.0,32,9.125,20,0.0
Benetton,1999,0,1,16.0,32,11.625,22,0.0
Benetton,2000,0,3,20.0,34,11.647058823529411,26,0.0
Benetton,2001,0,1,10.0,34,12.647058823529411,30,0.0
Boro,1976,0,0,0.0,6,18.166666666666668,6,0.0
Boro,1977,0,0,0.0,2,21.0,2,0.0
Brabham,1962,0,0,6.0,3,9.0,2,0.0
Brabham,1963,0,4,33.0,20,9.35,16,0.0
Brabham,1970,1,5,35.0,28,10.892857142857142,20,3.57
Brabham,1971,0,1,7.0,25,15.2,21,0.0
Brabham,1972,0,0,7.0,32,13.9375,26,0.0
Brabham,1973,0,2,22.0,41,12.951219512195122,33,0.0
Brabham,1974,3,5,46.0,55,15.181818181818182,46,5.45
Brabham,1975,2,9,61.0,28,9.892857142857142,18,7.14
Brabham,1977,0,4,27.0,35,13.17142857142857,28,0.0
Brabham,1978,2,10,69.0,33,11.181818181818182,18,6.06
Brabham,1980,3,6,55.0,28,11.607142857142858,18,10.71
Brabham,1981,3,7,61.0,30,10.466666666666667,20,10.0
Brabham,1982,2,5,41.0,30,14.366666666666667,25,6.67
Brabham,1983,4,10,72.0,30,10.9,17,13.33
Brabham,1984,2,5,38.0,32,12.15625,26,6.25
Brabham,1985,1,2,26.0,32,13.59375,29,3.12
Brabham,1986,0,0,2.0,31,15.258064516129032,31,0.0
Brabham,1987,0,2,10.0,32,17.28125,31,0.0
Brabham,1989,0,1,8.0,32,15.5,32,0.0
Brabham,1990,0,0,2.0,32,20.03125,31,0.0
Brabham,1991,0,0,3.0,32,16.6875,31,0.0
Brabham,1992,0,0,0.0,21,26.904761904761905,21,0.0
Brabham-Alfa Romeo,1976,0,0,11.0,33,15.242424242424242,28,0.0
Brabham-Alfa Romeo,1979,0,0,7.0,26,16.076923076923077,25,0.0
Brabham-BRM,1964,0,1,7.0,17,13.588235294117647,16,0.0
Brabham-BRM,1965,0,0,5.0,18,11.166666666666666,17,0.0
Brabham-BRM,1966,0,0,1.0,6,12.0,6,0.0
Brabham-Climax,1964,2,5,36.0,33,10.121212121212121,29,6.06
Brabham-Climax,1965,0,6,39.0,39,10.538461538461538,30,0.0
Brabham-Climax,1966,0,0,1.0,11,11.909090909090908,11,0.0
Brabham-Climax,1967,0,0,2.0,8,9.75,8,0.0
Brabham-Climax,1968,0,0,0.0,1,10.0,1,0.0
Brabham-Climax,1969,0,0,0.0,1,17.0,1,0.0
Brabham-Ford,1964,0,0,0.0,1,23.0,1,0.0
Brabham-Ford,1965,0,0,0.0,2,11.5,2,0.0
Brabham-Ford,1967,0,0,0.0,1,7.0,0,0.0
Brabham-Ford,1969,2,9,68.0,36,8.36111111111111,25,5.56
Brabham-Ford,1976,0,0,0.0,13,22.846153846153847,13,0.0
Brabham-Ford,1979,0,0,0.0,5,14.2,5,0.0
Brabham-Repco,1966,4,9,63.0,16,6.5,9,25.0
Brabham-Repco,1967,4,14,100.0,27,5.814814814814815,14,14.81
Brabham-Repco,1968,0,2,12.0,32,12.78125,29,0.0
Brabham-Repco,1969,0,0,0.0,2,8.5,2,0.0
Brawn,2009,8,15,172.0,34,4.882352941176471,2,23.53
Bromme,1951,0,0,0.0,1,27.0,1,0.0
Bromme,1952,0,0,0.0,1,22.0,1,0.0
Bromme,1953,0,0,0.0,1,31.0,1,0.0
Bromme,1954,0,0,0.0,2,30.0,2,0.0
Bugatti,1956,0,0,0.0,1,17.0,1,0.0
Caterham,2012,0,0,0.0,40,16.75,35,0.0
Caterham,2013,0,0,0.0,38,17.894736842105264,33,0.0
Caterham,2014,0,0,0.0,34,17.823529411764707,32,0.0
Christensen,1959,0,0,0.0,1,27.0,1,0.0
Christensen,1960,0,0,0.0,1,18.0,1,0.0
Cisitalia,1952,0,0,0.0,1,34.0,1,0.0
Coloni,1987,0,0,0.0,2,26.5,2,0.0
